date,open,high,low,close
2023-03-24,7206,7332,7026,7330
2023-03-27,7246,7352,7210,7336
2023-03-28,7368,7500,7338,7488
2023-03-29,7500,7586,7452,7516
2023-03-30,7534,7646,7472,7624
2023-03-31,7676,7694,7544,7594
2023-04-03,7608,7850,7606,7750
2023-04-04,7798,7888,7764,7844
2023-04-06,7770,7886,7730,7786
2023-04-07,7762,7848,7644,7720
2023-04-10,7744,7752,7586,7658
2023-04-11,7692,7926,7672,7908
2023-04-12,7930,7960,7734,7788
2023-04-13,7758,7790,7620,7648
2023-04-14,7670,7784,7608,7634
2023-04-17,7650,7688,7604,7656
2023-04-18,7160,7362,7136,7360
2023-04-19,7370,7442,7348,7386
2023-04-20,7340,7366,7208,7232
2023-04-21,7220,7252,7076,7080
2023-04-24,7090,7146,6970,7000
2023-04-25,7008,7092,6986,7044
2023-04-26,7040,7060,6934,7044
2023-04-27,7000,7068,6864,6872
2023-04-28,6850,6878,6806,6846
2023-05-04,6842,6938,6708,6934
2023-05-05,6944,7080,6896,7076
2023-05-08,7086,7216,7086,7202
2023-05-09,7250,7266,7136,7146
2023-05-10,7196,7234,7078,7090
2023-05-11,7090,7114,6898,6906
2023-05-12,6890,6912,6816,6828
2023-05-15,6870,6916,6746,6914
2023-05-16,6916,6932,6770,6790
2023-05-17,6770,6812,6686,6722
2023-05-18,6750,6790,6674,6690
2023-05-19,6680,6800,6654,6766
2023-05-22,6802,6826,6594,6632
2023-05-23,6678,6774,6636,6672
2023-05-24,6688,6738,6584,6608
2023-05-25,6630,6754,6592,6726
2023-05-26,6740,6854,6704,6816
2023-05-29,6836,6838,6680,6694
2023-05-30,6712,6738,6556,6596
2023-05-31,6558,6560,6314,6330
2023-06-01,6250,6428,6226,6404
2023-06-02,6434,6498,6352,6470
2023-06-05,6502,6584,6470,6524
2023-06-06,6524,6590,6406,6490
2023-06-07,6460,6558,6400,6480
2023-06-08,6480,6522,6402,6454
2023-06-09,6438,6684,6410,6642
2023-06-12,6640,6736,6548,6566
2023-06-13,6576,6628,6502,6608
2023-06-14,6660,6812,6660,6774
2023-06-15,6742,6838,6710,6808
2023-06-16,6824,7184,6816,7168
2023-06-19,7188,7274,7142,7196
2023-06-20,7200,7278,7182,7236
2023-06-21,7190,7218,6964,7036
2023-06-26,7064,7162,7014,7122
2023-06-27,7156,7250,7114,7156
2023-06-28,7100,7380,7080,7348
2023-06-29,7290,7332,7224,7312
2023-06-30,7280,7436,7268,7370
2023-07-03,7366,7744,7364,7720
2023-07-04,7736,7738,7556,7596
2023-07-05,7576,7648,7480,7578
2023-07-06,7558,7618,7522,7568
2023-07-07,7562,7580,7430,7458
2023-07-10,7450,7536,7376,7516
2023-07-11,7560,7686,7496,7510
2023-07-12,7506,7580,7472,7514
2023-07-13,7542,7618,7356,7426
2023-07-14,7500,7648,7458,7482
